RYR2
HSPA5
ERN1
TRDN
ATP2A2
SERP1
EIF2AK3
XBP1
CASQ2
ERAP1
ATP2A3
ERO1A
ATP2A1
ATF6
VCP
ERP29
SERP2
HERPUD1
ERP44
ERAP2
DDIT3
ERGIC1
KDELR1
OS9
KDELR2
ATF4
ERN2
ERLEC1
TP53
CALR
ERO1B
KDELR3
SEC16A
SOD2-OT1
HSP90B1
BDNF-AS
EIF2S1
ERP27
RER1
CANX
LOC126806068
ERMP1
MAPK8
PDIA3
CHERP
HMOX1
RYR1
CPT2
BCL2
NFE2L2
APP
SYVN1
P4HB
LINC01672
SOD1
CASP3
DERL1
MAPK14
LMAN1
NFE2L1
PPP1R15A
TNF
MIR7-3HG
TXNDC12
PRKN
G3BP1
DERL2
CAT
BCAP31
CALM1
PSEN1
DNAJC10
CASP4
MAP3K5
TMX2-CTNND1
HYOU1
CERNA3
DNAJB9
LMNA
BAX
ATF6B
INS
AMFR
PDIA4
ITPR1
LNPK
H6PD
DNAJC3
SIL1
HSPA4
TXNDC5
BAG6
SEC23A
SMAD5-AS1
STIM1
WFS1
EIF2AK2
STIP1
CLU
CFTR
SCN5A
MTOR
MAPK1
DNAJB11
FOS
G3BP2
SIRT1
MANF
MAN1B1
SLC6A4
ANK2
CXCL8
HSPA1A
HSPA8
ATF3
HSP90AA1
DERL3
EMSLR
HSF1
STING1
VAPB
OXSR1
SEL1L
CREB3
CREB3L1
PARK7
IL6
SELENOS
HSPB1
ERGIC3
CYCS
RTN4
JUN
GSR
VAPA
H19
CRH
EPM2A
AKT1
PARP1
TXN
UFL1
SEC61B
YIPF5
KCNH2
PDIA2
CASQ1
SOD2
CKAP4
DNAH8
EDEM1
SREBF1
BDNF
SIGMAR1
SEC61A1
PRNP
TMEM33
ERLIN2
MIA3
SEC31A
RPN1
ABL1
ATP13A1
NR3C1
TGFB1
KEAP1
TMED4
SURF4
GET3
CASP9
SELENON
DDRGK1
STX17
UBC
BSCL2
SERPINA1
SEC13
SREBF2
RETREG1
MIA2
PTPN1
MBTPS1
MPO
LMAN2
TMX1
PDIA6
PGR-AS1
CASP8
INSIG1
STX5
HSPA9
CEBPB
TRA-TGC7-1
SQSTM1
MAPK10
TMBIM6
PTGS2
CREB3L2
MBTPS2
TMED2
MAPT
BCL2L1
VWF
APOB
SCAP
IL1B
VEGFA
LRRK2
UBE2J1
KCNQ1
HMGCR
NLRP3
ALB
