symbol,score
CD27,GET
SIRPG,GET
CXCR6,GET
ICOS,GET
RUNX2,GET
TNFRSF9,GET
CD70,GET
CD200R1,GET
CD80,GET
TNS3,GET
KIR2DL4,GET
ZBED2,GET
TNIP3,GET
SEMA4A,GET
BATF,GET
TIGIT,GET
VDR,GET
CTLA4,GET
LAG3,GET
KLRB1,GET
TNFRSF18,GET
